DATE,SYMBOL,DAILY_TRANSFERS,UNIQUE_SENDERS,UNIQUE_RECEIVERS,DAILY_VOLUME_USD,AVG_TRANSFER_USD
2026-01-21,BONK,37278,3255,3503,4452261.05349338,119.43401077
2026-01-21,PONKE,2295,206,231,1874090.82812731,816.597310731
2026-01-21,MEW,9522,370,339,1330587.08643086,139.738194332
2026-01-21,MOODENG,1513,190,183,1128843.34009299,746.096060868
2026-01-21,POPCAT,11220,1894,1897,871803.813115617,77.700874609
2026-01-20,BONK,74514,5294,5566,15452263.6354225,207.373965099
2026-01-20,MEW,20091,504,453,3227289.65122585,160.633599683
2026-01-20,MOODENG,3738,316,295,2988150.30040726,799.398154202
2026-01-20,POPCAT,16466,1338,1345,2782138.07465286,168.962594112
2026-01-20,PONKE,2122,288,293,751433.94632484,354.115903075
2026-01-19,BONK,82871,5520,6820,15756862.1750005,190.137227438
2026-01-19,MOODENG,4713,349,347,6777353.67651796,1438.012662109
2026-01-19,MEW,28308,677,659,5470677.8764402,193.255541771
2026-01-19,POPCAT,17344,1234,1356,3081845.3681668,177.689423903
2026-01-19,PONKE,3652,342,315,1004635.26603603,275.091803405
2026-01-18,BONK,55866,4231,4755,6673748.17476894,119.459925084
2026-01-18,MEW,28656,676,659,3853613.63243186,134.478421009
2026-01-18,POPCAT,13101,1102,1135,1991840.64784526,152.037298515
2026-01-18,MOODENG,2295,221,216,1749525.72745146,762.32057841
2026-01-18,PONKE,3688,259,275,813894.348847135,220.687187865
2026-01-17,BONK,48985,4179,5385,7343023.92763019,149.903520009
2026-01-17,MEW,31045,818,873,5783702.64204455,186.30061659
2026-01-17,POPCAT,10176,1053,1049,1939304.27585149,190.57628497
2026-01-17,PONKE,9001,383,402,1929588.52357102,214.374905407
2026-01-17,MOODENG,2364,226,211,1604164.83787944,678.580726683
2026-01-16,BONK,104502,5729,6066,17947409.5601226,171.742259097
2026-01-16,MOODENG,4208,336,346,2849916.12535156,677.261436633
2026-01-16,MEW,15220,684,700,2085213.30881542,137.004816611
2026-01-16,POPCAT,18449,1648,1674,1975895.10852719,107.100390727
2026-01-16,PONKE,2865,314,311,683700.026830741,238.638752821
2026-01-15,BONK,77339,5463,6917,17989092.5980935,232.600532695
2026-01-15,POPCAT,24990,2032,2098,6170611.05885556,246.923211639
2026-01-15,MOODENG,3296,327,319,1920000.91899133,582.524550665
2026-01-15,PONKE,7295,404,418,1801092.91115126,246.894161912
2026-01-15,MEW,18484,714,714,1434069.55403837,77.58437319
2026-01-14,BONK,159637,8943,9707,30659578.0951492,192.058094897
2026-01-14,POPCAT,29098,2000,2016,5509314.85985804,189.336547524
2026-01-14,MOODENG,3817,308,291,5460722.90195763,1430.632146177
2026-01-14,MEW,32827,830,806,3489104.22353174,106.287635895
2026-01-14,PONKE,3953,353,350,1183675.25953409,299.437202007
2026-01-13,BONK,133370,7800,9321,22008235.0412331,165.016383304
2026-01-13,POPCAT,39251,2406,2350,7280914.0551755,185.496269017
2026-01-13,MEW,30555,805,813,3317137.48272807,108.562836941
2026-01-13,MOODENG,4104,289,273,2630251.57695955,640.899507056
2026-01-13,PONKE,4218,351,363,1136204.31268303,269.370391817
2026-01-12,BONK,101326,6809,7327,23854160.6151698,235.419937777
2026-01-12,POPCAT,29901,2091,2164,4868425.09007037,162.818136185
2026-01-12,MEW,40703,821,838,3501107.2203072,86.015950183
2026-01-12,MOODENG,4383,268,281,1978935.46026469,451.502500631
2026-01-12,PONKE,5405,310,311,1148151.84065042,212.424022322
2026-01-11,BONK,63217,5708,7370,7424165.23624972,117.439379222
2026-01-11,POPCAT,21958,2697,2672,3800902.57373889,173.098760076
2026-01-11,PONKE,14883,410,426,1749736.03546477,117.56608449
2026-01-11,MEW,38249,1282,1301,1558375.17047978,40.742899696
2026-01-11,MOODENG,2404,245,255,1291841.79607553,537.371795373
2026-01-10,BONK,55208,5232,5788,7874155.19313541,142.627068416
2026-01-10,POPCAT,24251,2685,2678,5152414.54187162,212.46194144
2026-01-10,MEW,29847,1028,1035,1625128.95792359,54.448653396
2026-01-10,PONKE,6814,359,369,1102223.52695328,161.7586626
2026-01-10,MOODENG,2110,221,206,949192.139118048,449.854094369
2026-01-09,BONK,79605,6316,7650,20083685.4232311,252.291758347
2026-01-09,POPCAT,28171,2755,2713,3386475.26773753,120.211397101
2026-01-09,PONKE,23511,565,582,3248734.28788943,138.179332563
2026-01-09,MEW,46117,1063,1072,2391881.35652421,51.865502017
2026-01-09,MOODENG,4513,265,274,1065085.61010232,236.003902083
2026-01-08,BONK,93792,5459,6066,23487052.9168342,250.416377909
2026-01-08,POPCAT,39800,2092,2164,13371684.8498505,335.971981152
2026-01-08,PONKE,31224,607,888,3992215.87712091,127.857285329
2026-01-08,MOODENG,3364,325,346,3530834.62806313,1049.594122492
2026-01-08,MEW,40320,1047,919,2026186.10657462,50.252631611
2026-01-07,BONK,125586,6981,8478,28102951.416128,223.77455621
2026-01-07,MOODENG,5459,413,449,7442823.46535558,1363.404188561
2026-01-07,POPCAT,40994,2400,2438,4528893.92631489,110.476994836
2026-01-07,MEW,40941,867,873,2406843.77379483,58.788104194
2026-01-07,PONKE,11855,499,454,1935445.0238293,163.259807999
2026-01-06,BONK,207226,9372,9852,67777680.8831368,327.071317707
2026-01-06,POPCAT,67365,2869,2968,19807843.4361522,294.037607603
2026-01-06,PONKE,28952,777,797,6085231.80072742,210.183469216
2026-01-06,MOODENG,6267,412,424,5514928.19211522,879.994924544
2026-01-06,MEW,57332,1090,1116,5349670.02533694,93.310368125
